ProjectName
"ConsignmentOrdersBE"
"SP_DBCostUpdates1"
"ASCJewelryLibrary[v1.2.2]"
"TRUECOMMERCE[25.193.0171][9.0.1.137]"
"ASCIStarWMSCustomization[June19]"
"AsgardLabels[Basic][25.201.0213][6.4.2.2]"
"AsgardLabels[RomanSunStone][25.200.0248][1.0.0]"
"OneUCCPerPackage"
"OneLabelPerPackage"
"UserRoleExtender"
"AsgardButtonControl[06.09.2026]"
"iStarCustomizations[25.201][05.18.2026]v1"
"iStarCustomizations[25.201][July1]"
"MasterPackISV[25.201[08.14.2026]"
"MasterPackExtension[08.18.2026][1]"
"CustomWMSManualPackTransfer[07.13.2026][1]"
"CustomWMSManualPackTransfer[07.22.2026][1]"
"POReceiptLineAdditionalColumn[06.19.2026][1]"
"Velixo[25R2]"
"SplitGIsAndReports[24.209.0013][April426]"
"iStarShippingRestrictionsCustomizations[06.30.2026]"
"MonthlyForecastReferenceTable[06.22.2026][1]"
"MonthlyForecastReferenceTable[06.30.2026][1]"
"BOLRequirements[08.12.2026][1]"
"EndpointAndGICollection[08.13.26][1]"
"IStarScanPerformance[08042026][1]"
"FlexManufacturing25R201v260422"
