Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
SV740346 ;BRAC-GF HRT/CZ DISC CHRM LNK BRC 7.5";      0 ;      2-;      2-;     20 ;     18 ;      0 ;1ANSUN ;
SV744701 ;GP NCK- FILIGREE PEAR LOCKET W/24" ROPE CHAIN;      0 ;     32-;     32-;     75 ;     43 ;      0 ;1ANSUN ;
SV744718 ;SSGF CZ RD 9MM BSKT STUD;      0 ;     36-;     36-;     88 ;     52 ;      0 ;1ANSUN ;
SV744720 ;SET-20MILS GP 4PR CZ STUD SET;      0 ;      1-;      1-;     23 ;     22 ;      0 ;1ANSUN ;
SV745472 ;SSGF CZ RD 8MM BSKT STUD;      0 ;     50-;     50-;    152 ;    102 ;      0 ;1ANSUN ;
XY9808218;NCK-7 PIERCED FLW HRT STATION 18" FH CLASP;      0 ;     66-;     66-;    150 ;     84 ;      0 ;1ARIN  ;
8MEDNT   ;MED CLUTCH;      5 ;   2528 ;   2528 ;    100 ;   2628 ;      0 ;1ASA   ;
XWSMNT   ;- SM EAR NUT;      0 ;    331 ;    331 ;   3200 ;   3531 ;      0 ;1ASA   ;
2488-Z   ;DOLPHIN W/4MM SETTING;      0 ;     20-;     20-;     20 ;      0 ;      0 ;1ATAMI ;
GF99367  ;CHRM-DOLPHIN;      0 ;      1-;      1-;    175 ;    174 ;      0 ;1ATAMI ;
XY813928 ;STUD-LRG RIBBED 'X';      0 ;     73-;     73-;    964 ;    891 ;      0 ;1ATAMI ;
S1514Z   ;STUD-4MM RND CZ (NO CLUTCH);     28 ;    265-;    265-;    862 ;    597 ;      0 ;1CARLI ;
SS747383 ;SS 2PAIR EAR SET HP/4MM CZ STD;      0 ;    241-;    241-;    399 ;    158 ;      0 ;1CARLI ;
SV731235 ;SSGF 10/12/14MM CLR CRYS/PLSH/CLR CRYS RD HP;      0 ;      9-;      9-;     27 ;     18 ;      0 ;1CARLI ;
SV743680 ;SSGF BG CLR CRYS HUG HP;      0 ;     22-;     22-;     70 ;     48 ;      0 ;1CARLI ;
SV746826N;SSGF  CZ CHNNL 20MM RD HINGE HP;      0 ;     16-;     16-;    122 ;    106 ;      0 ;1CARLI ;
SV746827 ;18KGOS CZ ETERNITY HOOP 40MM;      0 ;      2-;      2-;     38 ;     36 ;      0 ;1CARLI ;
4Y808376 ;DANGLE-DC LEAF ON WIRE;      0 ;     20 ;     20 ;      8 ;     28 ;      0 ;1CHAIN ;
4B800396P;CHARM 2TONE ST. CHRISTOPHER;      0 ;      1-;      1-;     11 ;     10 ;      0 ;1CHARA ;
4T800150P;CHARM OVAL GUADALUPE;      0 ;      3-;      3-;     12 ;      9 ;      0 ;1CHARA ;
4T800154N;CHARM LARGE CRUCIFIX;      0 ;      2-;      2-;     15 ;     13 ;      0 ;1CHARA ;
4Y800552P;CHARM-DESIGN CROSS;      0 ;      1 ;      1 ;     38 ;     39 ;      0 ;1CHARA ;
4Y806383 ;DANGLE-TEARDROP 26X6.5MM;      0 ;     18 ;     18 ;    232 ;    250 ;      0 ;1CHARA ;
C1031304 ;DNGL-FILIGREE TEARDROP (NO WIRE TOP,CASTINGS ONLY);      0 ;     33-;     33-;    268 ;    235 ;      0 ;1CHARA ;
X400268  ;BEADED CROSS W/DC POINTS CHARM;      0 ;      9-;      9-;     15 ;      6 ;      0 ;1CHARA ;
XB800096P;CHARM ANGEL 24.5 X 14.5MM;      0 ;      6-;      6-;     27 ;     21 ;      0 ;1CHARA ;
XB800134P;CHARM 2TONE KIDS' FANCY CROSS;      0 ;     13-;     13-;    118 ;    105 ;      0 ;1CHARA ;
XB800221P;CHARM 2TONE CRUCIFIX;      0 ;      1 ;      1 ;     19 ;     20 ;      0 ;1CHARA ;
XB800225P;CHARM 2TONE CROSS;      0 ;      1 ;      1 ;     34 ;     35 ;      0 ;1CHARA ;
XB800300P;CHARM 2TONE D/C LRG CRUCIFIX;      0 ;      1-;      1-;     16 ;     15 ;      0 ;1CHARA ;
XB800319P;CHARM DOUBLE ROSE;      0 ;      8-;      8-;     34 ;     26 ;      0 ;1CHARA ;
XB803989P;CHARM-2T HUMMING BIRD 21 X 16MM;      0 ;      3-;      3-;     28 ;     25 ;      0 ;1CHARA ;
XT800091P;CHARM- I HEART YOU;      0 ;     23-;     23-;     75 ;     52 ;      0 ;1CHARA ;
XY800110P;CHARM INFINITY HRT;      0 ;      0 ;      0 ;     12 ;     12 ;      0 ;1CHARA ;
XY800223P;CHARM FILIGREE CROSS;      0 ;     32-;     32-;     75 ;     43 ;      0 ;1CHARA ;
XY94699P ;PEND-FANCY SCROLL HEART;      0 ;     12-;     12-;     38 ;     26 ;      0 ;1CHARA ;
XY95313P ;PND-OPEN HEART;      0 ;      2-;      2-;      8 ;      6 ;      0 ;1CHARA ;
BB743312 ;WORN TT HAMMRD OVL POST DNGL ER;      0 ;      4-;      4-;      4 ;      0 ;      0 ;1DREAM ;
